Pattern Index,State,Action,Q-Value
0,0,0,0.025569299259331588
0,0,1,-0.3841720047306575
0,0,2,-0.3998828038813944
0,0,3,-0.5342535748542541
0,0,4,-0.35200243284
0,0,5,-0.17300354626293257
0,0,6,-0.399882516
0,0,7,1.6666666649535042
0,0,8,-0.505332
0,0,9,-0.63822
0,0,10,-0.3849684
0,0,11,-0.6422727920916
0,0,12,-0.5400969055036899
0,0,13,0.0
0,0,14,-0.586256676
0,0,15,-0.3849684
0,0,16,-0.18484243284000001
0,0,17,-0.5714510375115296
0,0,18,-0.43331933706050324
0,0,19,-0.34028627999999994
0,0,20,-0.46436741310377816
0,0,21,-0.492278784809972
0,0,22,-0.31590550574776566
0,0,23,-0.23094649072801168
0,0,24,-0.49830340800470385
0,0,25,-0.58345378730412
0,0,26,-0.51
0,0,27,-0.4232135676249918
0,0,28,-0.10138626521640987
0,0,29,-0.51664243284
0,0,30,-0.32387703964620995
0,0,31,-0.3453283105511633
0,0,32,-0.657
0,0,33,-0.392404901749841
0,0,34,-0.5155810290684761
0,0,35,-0.474
0,1,0,-0.55403883446412
0,1,1,-0.212112
0,1,2,-0.48370754546639355
0,1,3,-0.6042000193811932
0,1,4,-0.4101684
0,1,5,-0.40596
0,1,6,-0.549900261852583
0,1,7,1.6666666650406539
0,1,8,-0.22116
0,1,9,-0.537748367133143
0,1,10,-0.4328155032478244
0,1,11,-0.2388
0,1,12,-0.5599000673926862
0,1,13,-0.485989354496808
0,1,14,-0.4254805428111571
0,1,15,-0.5217865589438514
0,1,16,-0.5055052836
0,1,17,-0.299350262854254
0,1,18,-0.3
0,1,19,-0.3126011955794882
0,1,20,-0.587578246879783
0,1,21,-0.3
0,1,22,-0.47157513149614244
0,1,23,-0.474
0,1,24,-0.189882516
0,1,25,-0.4488
0,1,26,-0.5143217710418017
0,1,27,-0.3849684
0,1,28,-0.3746433874439696
0,1,29,-0.3
0,1,30,-0.5425716514727932
0,1,31,-0.3543973413367214
0,1,32,-0.5138310243621113
0,1,33,-0.49375276973022447
0,1,34,-0.5019804
0,1,35,-0.4747261487451384
0,2,0,0.0
0,2,1,-0.3463368
0,2,2,-0.126891383789004
0,2,3,-0.3
0,2,4,-0.5844535252357657
0,2,5,-0.43116
0,2,6,-0.4769907473316
0,2,7,1.6666666647897754
0,2,8,-0.6301848629879999
0,2,9,-0.4236
0,2,10,-0.45669106812488397
0,2,11,-0.4141806047012329
0,2,12,-0.3
0,2,13,-0.5955630045790188
0,2,14,-0.4379437476874188
0,2,15,-0.508376200023455
0,2,16,-0.43690959209159996
0,2,17,-0.29983083781678466
0,2,18,-0.25395051137769253
0,2,19,-0.3
0,2,20,-0.3
0,2,21,-0.522972
0,2,22,-0.51
0,2,23,-0.6344603291422245
0,2,24,-0.37801588121788804
0,2,25,-0.3224906720916
0,2,26,-0.54184243284
0,2,27,-0.505332
0,2,28,-0.39522805429220176
0,2,29,-0.51
0,2,30,-0.6028235421713445
0,2,31,-0.6216177612
0,2,32,-0.17461308388068747
0,2,33,-0.5138721787659576
0,2,34,-0.46157871566412
0,2,35,-0.45451744361210106
0,3,0,-0.39441831317425236
0,3,1,-0.1801954096317492
0,3,2,0.0
0,3,3,-0.07500039599999998
0,3,4,-0.3100173150162245
0,3,5,-0.3905656174264158
0,3,6,-0.42307837124677194
0,3,7,1.6666666653029836
0,3,8,-0.4526378676874188
0,3,9,-0.5167243566167846
0,3,10,-0.42598052979456535
0,3,11,-0.43991581177901873
0,3,12,-0.57816
0,3,13,-0.3986366218714543
0,3,14,-0.54244302550369
0,3,15,-0.55111788
0,3,16,-0.47998438884570316
0,3,17,-0.59353788
0,3,18,-0.3377623168709873
0,3,19,-0.38929919601678914
0,3,20,-0.37481064699763583
0,3,21,-0.43681580663050473
0,3,22,-0.434583717852583
0,3,23,-0.5000514048656162
0,3,24,0.0
0,3,25,-0.264
0,3,26,-0.465334668124884
0,3,27,-0.25593981122062176
0,3,28,-0.668712
0,3,29,-0.60742335446412
0,3,30,-0.64156095446412
0,3,31,-0.522972
0,3,32,-0.5118122017233492
0,3,33,-0.51
0,3,34,-0.43836879599999995
0,3,35,-0.43116
0,4,0,0.0
0,4,1,-0.5019772253879999
0,4,2,-0.3785132983271002
0,4,3,-0.5643624372
0,4,4,-0.15849173243389056
0,4,5,0.0
0,4,6,-0.6422727920916
0,4,7,1.6666666655678364
0,4,8,-0.5513668189886002
0,4,9,-0.3818943307850644
0,4,10,-0.46594188
0,4,11,-0.3291328549435009
0,4,12,-0.4580378424717492
0,4,13,0.0
0,4,14,-0.28770994463043364
0,4,15,-0.41881199999999996
0,4,16,0.0
0,4,17,-0.5303167426223014
0,4,18,-0.474
0,4,19,-0.3549804
0,4,20,-0.19411788
0,4,21,-0.4151484708885339
0,4,22,-0.647819602496808
0,4,23,-0.51
0,4,24,-0.2747695934010382
0,4,25,-0.235940634983519
0,4,26,-0.5156033708276359
0,4,27,-0.44274046897570757
0,4,28,-0.43116
0,4,29,-0.5931285085790677
0,4,30,-0.6580317485548236
0,4,31,-0.526251468124884
0,4,32,-0.49900243284
0,4,33,-0.630826910172583
0,4,34,0.0
0,4,35,-0.3969177612
0,5,0,-0.41633782409160003
0,5,1,-0.31776019404
0,5,2,0.0
0,5,3,-0.5601982799999999
0,5,4,-0.44802283284
0,5,5,0.0
0,5,6,-0.474
0,5,7,1.666666665433238
0,5,8,-0.3
0,5,9,-0.61117788
0,5,10,-0.22116
0,5,11,-0.2929155507563345
0,5,12,-0.1692656744968081
0,5,13,-0.40664741527657455
0,5,14,-0.36127788
0,5,15,-0.4141278944403426
0,5,16,-0.45987299913536794
0,5,17,-0.26727076341441075
0,5,18,-0.54982093465212
0,5,19,0.0
0,5,20,-0.3853770492705726
0,5,21,-0.374682516
0,5,22,-0.10275146135441339
0,5,23,-0.4488
0,5,24,-0.56873295446412
0,5,25,-0.5128957749021246
0,5,26,-0.20016839999999997
0,5,27,0.0
0,5,28,-0.4949738676874188
0,5,29,-0.527928312326544
0,5,30,-0.3212077183428119
0,5,31,-0.4126170431587491
0,5,32,-0.34892987999999997
0,5,33,-0.3
0,5,34,-0.10000138399741801
0,5,35,-0.53532
0,6,0,-0.3673284
0,6,1,0.0
0,6,2,-0.189882516
0,6,3,-0.5135329949026556
0,6,4,-0.39361199999999996
0,6,5,0.0
0,6,6,-0.017107396994025595
0,6,7,1.6666666652151474
0,6,8,-0.595884
0,6,9,-0.5011767990695768
0,6,10,-0.264
0,6,11,-0.4698002772
0,6,12,-0.20016839999999997
0,6,13,-0.52616188760089
0,6,14,-0.3417297612
0,6,15,-0.4222239132414568
0,6,16,-0.34880830861678463
0,6,17,-0.41416267128522477
0,6,18,-0.38435104745895127
0,6,19,0.0
0,6,20,-0.42949907098339185
0,6,21,-0.6871287951668352
0,6,22,-0.1869177612
0,6,23,-0.43116
0,6,24,-0.39166095446411997
0,6,25,-0.48973633588965015
0,6,26,-0.47433106812488396
0,6,27,-0.581267326692583
0,6,28,-0.3
0,6,29,-0.4236
0,6,30,-0.4414697666031444
0,6,31,-0.46781212359200536
0,6,32,-0.43220016327975597
0,6,33,-0.49784741283934236
0,6,34,-0.20016839999999997
0,6,35,-0.39237279209160003
0,7,0,-0.208812
0,7,1,-0.19411788
0,7,2,-0.4101684
0,7,3,-0.2720396715030024
0,7,4,-0.208812
0,7,5,-0.42907017129702496
0,7,6,-0.30659420479858446
0,7,7,1.6666666648532844
0,7,8,0.0
0,7,9,-0.1803610627950839
0,7,10,0.0
0,7,11,-0.272571784534076
0,7,12,-0.10000237882170053
0,7,13,-0.25435265393827367
0,7,14,-0.10184397327825685
0,7,15,-0.10345016735063894
0,7,16,-0.18484243284000001
0,7,17,-0.1033491920192774
0,7,18,0.0
0,7,19,-0.10000000238939223
0,7,20,0.0
0,7,21,-0.10001871612021089
0,7,22,-0.10081334609737853
0,7,23,-0.3102135657086185
0,7,24,0.0
0,7,25,-0.43337384008046886
0,7,26,0.0
0,7,27,0.0
0,7,28,-0.10181891060171226
0,7,29,-0.1808138676874188
0,7,30,0.0
0,7,31,-0.1823727920916
0,7,32,0.0
0,7,33,-0.4488
0,7,34,-0.31467694023041415
0,7,35,-0.22116
0,8,0,-0.43014723446411995
0,8,1,-0.37891788
0,8,2,-0.5319684
0,8,3,-0.22116
0,8,4,-0.4836110448
0,8,5,-0.625872
0,8,6,-0.4101684
0,8,7,1.666666664920688
0,8,8,-0.12909018871341166
0,8,9,-0.3442171045204797
0,8,10,-0.5706504291477892
0,8,11,-0.10766723286055176
0,8,12,-0.56649576
0,8,13,-0.41431418917992574
0,8,14,-0.20016839999999997
0,8,15,-0.5595688596047846
0,8,16,-0.5170642493830189
0,8,17,-0.5706
0,8,18,-0.4552155256317493
0,8,19,-0.4739822676874188
0,8,20,-0.4488
0,8,21,-0.618089702988
0,8,22,-0.39363059751358787
0,8,23,-0.5572835750686119
0,8,24,-0.33423576
0,8,25,-0.40534397130787964
0,8,26,-0.51
0,8,27,-0.5416908344641199
0,8,28,-0.51
0,8,29,-0.657
0,8,30,-0.6137806988202469
0,8,31,0.0
0,8,32,-0.41719338099168213
0,8,33,-0.5684610680916
0,8,34,-0.50114658689761
0,8,35,-0.5978738676874188
0,9,0,-0.47592397443429724
0,9,1,-0.55111788
0,9,2,-0.29537603513543925
0,9,3,-0.48746522604
0,9,4,-0.39484243284
0,9,5,-0.14285378093280998
0,9,6,-0.5237420135210359
0,9,7,1.666666665187193
0,9,8,-0.2388
0,9,9,-0.043893538948673975
0,9,10,-0.6340256751668353
0,9,11,-0.546882516
0,9,12,-0.4051882512090556
0,9,13,-0.662978814124884
0,9,14,-0.3143748588353391
0,9,15,-0.4248085520916
0,9,16,-0.5562736871712
0,9,17,-0.4594047695024624
0,9,18,-0.181162668124884
0,9,19,-0.27322918281774533
0,9,20,-0.37942824163174926
0,9,21,-0.4185349984878816
0,9,22,-0.3
0,9,23,-0.43014723446411995
0,9,24,-0.3174041480685386
0,9,25,-0.41032860159589796
0,9,26,-0.4635088742659641
0,9,27,-0.45669106812488397
0,9,28,-0.4155193945356153
0,9,29,-0.51
0,9,30,-0.45702177477056777
0,9,31,-0.4500981612
0,9,32,-0.3143374506415524
0,9,33,-0.38512416086471496
0,9,34,-0.3
0,9,35,-0.5964208103021622
0,10,0,-0.5804543407416686
0,10,1,-0.44359213582800006
0,10,2,-0.5759737682796
0,10,3,-0.42785990607848073
0,10,4,-0.4637335986399124
0,10,5,-0.4488
0,10,6,-0.4412694389042269
0,10,7,1.6666666655166764
0,10,8,-0.5872404
0,10,9,-0.5233543495006608
0,10,10,-0.07282935446411999
0,10,11,-0.3
0,10,12,-0.4458935518595099
0,10,13,-0.44186338730412
0,10,14,-0.22116
0,10,15,-0.42263116963174924
0,10,16,-0.55296
0,10,17,-0.6288178799999999
0,10,18,0.0
0,10,19,-0.3
0,10,20,-0.44359213582800006
0,10,21,-0.3795119886167846
0,10,22,-0.4618083104358124
0,10,23,-0.512855762864894
0,10,24,-0.3
0,10,25,-0.41791682821746695
0,10,26,-0.613524
0,10,27,-0.60259308
0,10,28,-0.31749701017499976
0,10,29,0.0
0,10,30,-0.565812
0,10,31,-0.39081386768741877
0,10,32,-0.49582095446411995
0,10,33,-0.4607316288874188
0,10,34,-0.2494701435795611
0,10,35,-0.5587851484247847
0,11,0,-0.22116
0,11,1,-0.3415721447813246
0,11,2,-0.2770197044532388
0,11,3,-0.4666743914511571
0,11,4,-0.208812
0,11,5,-0.474
0,11,6,-0.51
0,11,7,1.66666666429257
0,11,8,-0.348487218044231
0,11,9,-0.4488
0,11,10,-0.49582095446411995
0,11,11,-0.03691776119999999
0,11,12,-0.18027915661678465
0,11,13,-0.18338970298799998
0,11,14,-0.39228250339756726
0,11,15,-0.3673284
0,11,16,-0.521682516
0,11,17,-0.5022692889147072
0,11,18,-0.1869177612
0,11,19,-0.48807382166267393
0,11,20,-0.4540018807751451
0,11,21,-0.19590369619514025
0,11,22,-0.47373810738119315
0,11,23,0.0
0,11,24,-0.57816
0,11,25,-0.45313431645703867
0,11,26,-0.5220871113464706
0,11,27,-0.40596
0,11,28,-0.3860787951668352
0,11,29,-0.18338970298799998
0,11,30,-0.3941808486415921
0,11,31,-0.180046917852583
0,11,32,-0.39455458652524134
0,11,33,-0.657
0,11,34,-0.11485571937921243
0,11,35,-0.4437298020106986
0,12,0,-0.4488
0,12,1,-0.47653207597826397
0,12,2,-0.4966884
0,12,3,-0.46914962429098295
0,12,4,-0.39237279209160003
0,12,5,-0.37891788
0,12,6,-0.323507582988
0,12,7,1.6666666655779476
0,12,8,-0.36717279209160003
0,12,9,-0.4101684
0,12,10,-0.3317124760059095
0,12,11,-0.41881199999999996
0,12,12,-0.08151344603000465
0,12,13,-0.3
0,12,14,-0.30864467905258297
0,12,15,-0.5384433108290675
0,12,16,-0.37224277485822443
0,12,17,-0.40238304042193895
0,12,18,-0.3100131329121104
0,12,19,-0.25880435601243007
0,12,20,-0.20016839999999997
0,12,21,-0.31776019404
0,12,22,-0.5274748355799685
0,12,23,-0.5125883230999247
0,12,24,-0.10025786859150285
0,12,25,-0.5406501612
0,12,26,-0.4890077100236198
0,12,27,-0.45047708176814144
0,12,28,-0.3
0,12,29,-0.5958
0,12,30,-0.31000001048241976
0,12,31,-0.5824476697477656
0,12,32,-0.5175351788338245
0,12,33,-0.565641087103902
0,12,34,-0.36717279209160003
0,12,35,-0.5151897029879999
0,13,0,-0.4587417612
0,13,1,-0.45809151298728923
0,13,2,-0.4475195399114609
0,13,3,-0.4543704721527602
0,13,4,-0.32484171680883184
0,13,5,-0.264
