Episode,match_fail_count,reward_per_episode,epsilon,time_per_episode
1,527,-499.5,1.0,0.561
2,525,-497.0,0.999,0.4915
3,449,-421.5,0.998,0.4169
4,785,-750.5,0.997,0.631
5,610,-580.5,0.996,0.4886
6,860,-824.0,0.995,0.6635
7,382,-358.0,0.994,0.353
8,467,-442.0,0.993,0.3758
9,549,-520.5,0.992,0.4633
10,656,-621.5,0.991,0.5628
11,504,-478.5,0.99,0.4092
12,609,-579.0,0.989,0.5326
13,814,-781.5,0.988,0.6727
14,441,-414.5,0.987,0.3602
15,407,-380.0,0.986,0.3268
16,710,-679.0,0.985,0.6797
17,379,-353.0,0.984,0.2941
18,630,-597.5,0.983,0.5232
19,543,-516.0,0.982,0.4517
20,398,-371.5,0.981,0.3521
21,325,-300.5,0.98,0.2668
22,501,-470.0,0.979,0.4201
23,345,-321.5,0.978,0.3004
24,586,-557.0,0.977,0.4413
25,354,-328.5,0.976,0.3021
26,610,-582.5,0.975,0.4548
27,424,-398.5,0.974,0.3218
28,500,-472.0,0.973,0.4311
29,226,-201.0,0.972,0.18
30,419,-391.0,0.971,0.3499
31,316,-291.0,0.97,0.3065
32,259,-234.5,0.969,0.2489
33,354,-331.5,0.968,0.237
34,490,-464.5,0.968,0.3671
35,362,-333.5,0.967,0.3056
36,455,-429.5,0.966,0.4091
37,256,-233.0,0.965,0.2433
38,202,-180.0,0.964,0.1631
39,411,-384.5,0.963,0.3215
40,326,-300.5,0.962,0.2822
41,295,-273.0,0.961,0.2347
42,285,-258.0,0.96,0.2373
43,364,-339.5,0.959,0.2903
44,408,-384.5,0.958,0.3431
45,278,-255.5,0.957,0.2476
46,270,-247.0,0.956,0.2431
47,244,-221.0,0.955,0.199
48,341,-311.5,0.954,0.3153
49,436,-406.0,0.953,0.383
50,209,-188.5,0.952,0.196
51,179,-157.0,0.951,0.1474
52,295,-273.0,0.95,0.2292
53,331,-306.5,0.949,0.2765
54,318,-296.0,0.948,0.2847
55,229,-208.5,0.947,0.195
56,227,-205.0,0.946,0.1863
57,303,-279.5,0.946,0.2486
58,178,-152.5,0.945,0.1524
59,226,-202.0,0.944,0.1949
60,209,-187.0,0.943,0.1619
61,201,-179.0,0.942,0.153
