Pattern Index,State,Action,Q-Value
0,0,0,0.0
0,0,1,-0.8271900000000001
0,0,2,-0.8934471003917251
0,0,3,-0.8979038334
0,0,4,-0.882907544756569
0,0,5,0.0
0,0,6,-0.8847387408157266
0,0,7,1.1111111111111112
0,0,8,-0.89406513
0,0,9,-0.8936262222222231
0,0,10,-0.651
0,0,11,-0.973
0,0,12,-0.8840601
0,0,13,-0.6300153089999999
0,0,14,-0.890874385451284
0,0,15,-0.8855655612457144
0,0,16,0.0
0,0,17,-0.8934372333824832
0,0,18,-0.8979502707
0,0,19,-0.8679961641417197
0,0,20,-0.8902619615234566
0,0,21,-0.890669616410875
0,0,22,-0.8679268182703005
0,0,23,-0.63005103
0,0,24,-0.903357
0,0,25,-0.89019
0,0,26,-0.892512124304973
0,0,27,-0.8838945927
0,0,28,-0.6222222222222221
0,0,29,-0.8818824700271194
0,0,30,-0.8322222222437331
0,0,31,-0.82094103
0,0,32,-0.8941934702280222
0,0,33,-0.84189
0,0,34,-0.8890294895209503
0,0,35,-0.861
0,1,0,-0.89654106720087
0,1,1,-0.402367
0,1,2,-0.8884701
0,1,3,-0.8999450334271194
0,1,4,-0.8742732522222222
0,1,5,-0.8908254085148195
0,1,6,-0.89019
0,1,7,1.1111111111111112
0,1,8,-0.63189
0,1,9,-0.8991682540029
0,1,10,-0.89803566901377
0,1,11,-0.821457
0,1,12,-0.9147578139002196
0,1,13,-0.8929821610044234
0,1,14,-0.8661631540945628
0,1,15,-0.8895584789079729
0,1,16,-0.8254701
0,1,17,-0.6222771476534492
0,1,18,-0.7
0,1,19,-0.8875689000501104
0,1,20,-0.8899484072001748
0,1,21,-0.7
0,1,22,-0.8888175460075046
0,1,23,-0.888315309
0,1,24,-0.8659073551371119
0,1,25,-0.8463
0,1,26,-0.9282
0,1,27,-0.8831823505978714
0,1,28,-0.7
0,1,29,-0.8322931641861226
0,1,30,-0.90489
0,1,31,-0.6363
0,1,32,-0.883890011160261
0,1,33,-0.8684938149222222
0,1,34,-0.8906588189108866
0,1,35,-0.8918581882046763
0,2,0,0.0
0,2,1,-0.8193402
0,2,2,-0.38505103
