Episode,match_fail_count,reward_per_episode,epsilon,time_per_episode
1,527,-499.5,1.0,0.5316
2,525,-497.0,0.999,0.4731
3,449,-421.5,0.998,0.4674
4,785,-750.5,0.997,0.6569
5,610,-580.5,0.996,0.3644
6,860,-824.0,0.995,0.568
7,382,-358.0,0.994,0.2271
8,467,-442.0,0.993,0.2934
9,549,-520.5,0.992,0.4151
10,656,-621.5,0.991,0.4236
11,504,-478.5,0.99,0.3164
12,609,-579.0,0.989,0.3841
13,814,-781.5,0.988,0.5448
14,441,-414.5,0.987,0.2922
15,407,-380.0,0.986,0.2882
16,710,-679.0,0.985,0.4484
17,379,-353.0,0.984,0.2765
18,630,-597.5,0.983,0.4393
19,543,-516.0,0.982,0.378
20,398,-371.5,0.981,0.2868
21,325,-300.5,0.98,0.2368
22,501,-470.0,0.979,0.3743
23,345,-321.5,0.978,0.2273
24,586,-557.0,0.977,0.4215
25,354,-329.0,0.976,0.2626
26,610,-582.5,0.975,0.4268
27,424,-398.5,0.974,0.2733
28,500,-472.0,0.973,0.357
29,226,-201.0,0.972,0.1666
30,419,-391.0,0.971,0.3223
31,316,-291.0,0.97,0.1942
32,259,-234.5,0.969,0.1803
33,354,-331.5,0.968,0.2478
34,490,-464.5,0.968,0.3232
35,362,-333.0,0.967,0.2465
36,455,-429.5,0.966,0.304
37,256,-233.0,0.965,0.1816
38,202,-180.0,0.964,0.1557
39,411,-384.5,0.963,0.3105
40,326,-300.5,0.962,0.2297
41,295,-273.0,0.961,0.1922
42,285,-258.0,0.96,0.2158
43,364,-339.5,0.959,0.2778
44,408,-384.5,0.958,0.2815
45,278,-255.5,0.957,0.1867
46,270,-247.0,0.956,0.1812
47,244,-221.0,0.955,0.1787
48,340,-310.5,0.954,0.242
49,437,-407.0,0.953,0.3062
50,209,-188.5,0.952,0.1597
51,179,-157.0,0.951,0.1306
52,295,-273.0,0.95,0.1884
53,331,-306.5,0.949,0.2388
54,318,-296.0,0.948,0.2378
55,229,-208.5,0.947,0.1559
56,227,-205.0,0.946,0.143
57,303,-279.5,0.946,0.2172
58,176,-150.5,0.945,0.1371
59,228,-203.5,0.944,0.1555
60,209,-187.0,0.943,0.1575
61,201,-179.0,0.942,0.1484
62,141,-118.0,0.941,0.1051
63,247,-222.5,0.94,0.1854
64,229,-205.0,0.939,0.1843
65,172,-147.5,0.938,0.1125
66,206,-182.0,0.937,0.1328
67,190,-168.0,0.936,0.1175
68,184,-159.0,0.935,0.1201
69,239,-217.0,0.934,0.171
70,177,-156.0,0.933,0.1416
71,281,-255.5,0.932,0.2128
72,193,-168.0,0.931,0.1412
73,227,-203.5,0.93,0.1613
74,172,-147.5,0.93,0.1178
75,168,-143.0,0.929,0.1155
76,192,-168.0,0.928,0.1382
77,238,-213.5,0.927,0.1669
78,161,-139.0,0.926,0.1177
79,183,-160.5,0.925,0.1455
80,113,-92.0,0.924,0.0995
81,159,-137.0,0.923,0.144
82,137,-116.5,0.922,0.1004
83,185,-162.0,0.921,0.1115
84,311,-287.5,0.92,0.1964
85,198,-173.0,0.919,0.1529
86,132,-110.0,0.918,0.0964
87,104,-83.0,0.918,0.084
88,164,-143.0,0.917,0.1291
89,178,-155.5,0.916,0.1269
90,216,-192.0,0.915,0.1572
91,141,-119.0,0.914,0.1044
92,124,-103.0,0.913,0.0934
93,106,-83.5,0.912,0.084
94,136,-112.5,0.911,0.1031
95,150,-128.5,0.91,0.1126
96,195,-170.5,0.909,0.137
97,162,-138.5,0.908,0.1217
98,137,-115.5,0.908,0.109
99,256,-231.5,0.907,0.1955
100,147,-125.5,0.906,0.1258
101,152,-129.0,0.905,0.1114
102,144,-121.5,0.904,0.0974
103,111,-89.5,0.903,0.0762
104,140,-118.5,0.902,0.0837
105,140,-119.5,0.901,0.0934
106,157,-135.5,0.9,0.0913
107,178,-155.0,0.899,0.1393
108,108,-86.0,0.898,0.0887
109,153,-131.5,0.898,0.107
110,137,-114.5,0.897,0.1049
111,167,-146.0,0.896,0.1146
112,139,-118.0,0.895,0.1018
113,138,-115.0,0.894,0.1029
114,102,-81.5,0.893,0.0842
115,141,-120.5,0.892,0.1087
116,123,-102.0,0.891,0.1027
117,176,-152.5,0.89,0.1382
118,167,-145.5,0.89,0.13
119,145,-124.5,0.889,0.1128
120,105,-84.5,0.888,0.0823
121,123,-100.5,0.887,0.1089
122,92,-71.0,0.886,0.0771
123,103,-82.5,0.885,0.1004
124,83,-62.5,0.884,0.0864
125,113,-92.0,0.883,0.1106
126,76,-55.0,0.882,0.072
127,107,-85.0,0.882,0.1007
128,118,-96.5,0.881,0.0927
129,234,-211.0,0.88,0.1332
130,140,-117.0,0.879,0.0927
131,118,-97.5,0.878,0.0774
132,82,-61.0,0.877,0.066
133,81,-59.0,0.876,0.0646
134,123,-100.5,0.875,0.1087
135,108,-85.0,0.875,0.0919
136,139,-117.0,0.874,0.1155
137,77,-54.5,0.873,0.0776
138,117,-95.5,0.872,0.0886
139,197,-175.5,0.871,0.1292
140,142,-120.0,0.87,0.1092
141,110,-90.0,0.869,0.0767
142,142,-120.0,0.868,0.0955
143,109,-86.5,0.868,0.0856
144,95,-74.0,0.867,0.0695
145,124,-103.5,0.866,0.08
146,102,-80.0,0.865,0.0665
147,94,-72.0,0.864,0.0833
148,112,-90.0,0.863,0.1035
149,133,-112.0,0.862,0.1246
150,118,-97.5,0.862,0.0931
151,125,-105.0,0.861,0.0824
152,179,-158.0,0.86,0.1061
153,93,-72.0,0.859,0.0676
154,120,-98.5,0.858,0.0973
155,111,-89.5,0.857,0.0884
156,76,-55.0,0.856,0.0653
157,60,-39.5,0.855,0.0534
158,96,-75.0,0.855,0.0819
159,84,-63.5,0.854,0.0715
160,125,-105.0,0.853,0.0933
161,103,-80.0,0.852,0.082
162,74,-53.0,0.851,0.0567
163,67,-44.0,0.85,0.0546
164,40,-20.0,0.85,0.0359
165,70,-49.0,0.849,0.0577
166,122,-99.5,0.848,0.083
167,95,-74.5,0.847,0.0713
168,97,-76.0,0.846,0.0691
169,115,-94.0,0.845,0.0834
170,57,-36.5,0.844,0.0438
171,80,-58.0,0.844,0.065
172,102,-81.0,0.843,0.0745
173,96,-74.5,0.842,0.0648
174,87,-65.5,0.841,0.0628
175,97,-75.5,0.84,0.0641
176,70,-48.5,0.839,0.0522
177,61,-39.5,0.839,0.0566
178,113,-91.5,0.838,0.0845
179,66,-45.5,0.837,0.0608
180,69,-47.0,0.836,0.0712
181,102,-80.0,0.835,0.0959
182,64,-43.5,0.834,0.0647
183,109,-88.0,0.834,0.0915
184,68,-46.5,0.833,0.0687
185,70,-48.0,0.832,0.0655
186,103,-83.0,0.831,0.0656
187,64,-43.0,0.83,0.045
188,57,-36.5,0.829,0.039
189,99,-77.5,0.829,0.082
190,91,-71.0,0.828,0.0866
191,72,-51.5,0.827,0.0493
192,68,-46.5,0.826,0.0531
193,94,-73.5,0.825,0.073
194,80,-58.5,0.824,0.0643
195,123,-102.0,0.824,0.0896
196,86,-65.0,0.823,0.0656
197,80,-58.5,0.822,0.0737
198,81,-60.0,0.821,0.0673
199,62,-41.0,0.82,0.0581
200,64,-42.0,0.819,0.0579
201,53,-31.5,0.819,0.0491
202,88,-67.0,0.818,0.0778
203,77,-56.0,0.817,0.0684
204,72,-50.0,0.816,0.0631
205,57,-36.5,0.815,0.046
206,79,-58.0,0.815,0.0675
207,72,-52.0,0.814,0.0656
208,72,-50.5,0.813,0.0614
209,53,-32.5,0.812,0.0496
210,62,-41.5,0.811,0.057
211,77,-54.5,0.81,0.0701
212,78,-57.0,0.81,0.067
213,108,-86.0,0.809,0.0933
214,55,-34.0,0.808,0.0499
215,61,-40.5,0.807,0.0683
216,60,-39.0,0.806,0.0632
217,29,-8.5,0.806,0.039
218,91,-69.5,0.805,0.0959
219,41,-21.0,0.804,0.0465
220,82,-61.5,0.803,0.0733
221,94,-73.0,0.802,0.0663
222,77,-56.0,0.802,0.046
223,81,-60.0,0.801,0.0557
224,48,-27.5,0.8,0.0369
225,57,-36.0,0.799,0.049
226,55,-35.0,0.798,0.0487
227,57,-36.5,0.798,0.0499
228,59,-38.5,0.797,0.0474
229,69,-48.0,0.796,0.054
230,65,-44.0,0.795,0.0618
231,62,-40.0,0.794,0.0579
232,53,-31.5,0.794,0.0515
233,85,-63.0,0.793,0.0756
234,55,-34.5,0.792,0.0464
235,98,-77.0,0.791,0.0859
236,50,-29.5,0.79,0.0491
237,59,-38.5,0.79,0.054
238,69,-47.0,0.789,0.064
239,81,-60.0,0.788,0.0788
240,50,-29.0,0.787,0.043
241,58,-38.0,0.787,0.0489
242,72,-51.0,0.786,0.0522
243,65,-43.0,0.785,0.055
244,65,-43.0,0.784,0.0522
245,54,-33.0,0.783,0.0472
246,34,-12.5,0.783,0.0357
247,67,-47.0,0.782,0.0563
248,52,-31.0,0.781,0.0469
249,61,-40.5,0.78,0.051
250,44,-23.0,0.779,0.0424
251,51,-28.5,0.779,0.0443
252,53,-33.0,0.778,0.0497
253,59,-38.0,0.777,0.0555
254,48,-27.5,0.776,0.0475
255,79,-57.5,0.776,0.0634
256,59,-38.0,0.775,0.0515
257,39,-18.5,0.774,0.0365
258,38,-17.0,0.773,0.0424
259,72,-50.5,0.772,0.0751
260,33,-11.5,0.772,0.0336
261,67,-45.0,0.771,0.0641
262,56,-36.0,0.77,0.0621
263,83,-61.5,0.769,0.0793
264,65,-44.0,0.769,0.0521
265,37,-17.0,0.768,0.0302
266,54,-33.0,0.767,0.0449
267,46,-25.5,0.766,0.0437
268,54,-33.5,0.766,0.0494
269,36,-15.5,0.765,0.0396
270,47,-26.0,0.764,0.0481
271,71,-48.0,0.763,0.0652
272,43,-22.0,0.763,0.0392
273,55,-34.0,0.762,0.0478
274,55,-33.0,0.761,0.0491
275,55,-33.5,0.76,0.0429
276,78,-57.0,0.759,0.0545
277,68,-46.0,0.759,0.0581
278,57,-35.5,0.758,0.047
279,54,-32.5,0.757,0.0524
280,60,-39.5,0.756,0.0641
281,49,-26.5,0.756,0.0357
282,35,-14.0,0.755,0.0302
283,54,-34.0,0.754,0.0379
284,27,-6.5,0.753,0.026
285,57,-36.5,0.753,0.0452
286,32,-11.5,0.752,0.035
287,44,-23.5,0.751,0.0444
288,99,-77.0,0.75,0.0816
289,48,-27.5,0.75,0.0465
290,41,-21.0,0.749,0.0434
291,52,-31.0,0.748,0.0496
292,62,-40.5,0.747,0.053
293,35,-14.5,0.747,0.0351
294,48,-27.5,0.746,0.0417
295,54,-33.5,0.745,0.0452
296,48,-26.5,0.744,0.0425
297,49,-28.5,0.744,0.0465
298,37,-15.5,0.743,0.0405
299,48,-26.0,0.742,0.0457
300,57,-37.0,0.741,0.0502
301,49,-28.5,0.741,0.0424
302,45,-25.0,0.74,0.045
303,61,-40.5,0.739,0.0546
304,33,-13.0,0.738,0.0373
305,40,-19.5,0.738,0.0406
306,33,-13.0,0.737,0.0355
307,38,-18.0,0.736,0.0399
308,60,-39.5,0.736,0.0682
309,39,-19.0,0.735,0.0523
310,54,-33.5,0.734,0.0607
311,51,-30.5,0.733,0.0553
312,48,-28.0,0.733,0.0597
313,44,-22.0,0.732,0.0526
314,32,-11.0,0.731,0.0432
315,42,-22.0,0.73,0.0443
316,38,-18.0,0.73,0.0347
317,46,-25.5,0.729,0.0384
318,34,-13.5,0.728,0.0302
319,30,-9.5,0.727,0.031
320,41,-21.0,0.727,0.0342
321,31,-9.5,0.726,0.0292
322,32,-12.0,0.725,0.028
323,64,-42.5,0.725,0.05
324,56,-35.5,0.724,0.0425
325,49,-29.0,0.723,0.0389
326,72,-51.5,0.722,0.0545
327,36,-15.0,0.722,0.0396
328,30,-9.5,0.721,0.0383
329,49,-28.0,0.72,0.0497
330,23,-2.5,0.72,0.0302
331,55,-34.5,0.719,0.043
332,34,-13.5,0.718,0.0302
333,40,-19.0,0.717,0.0333
334,35,-15.0,0.717,0.0336
335,31,-10.5,0.716,0.0327
336,21,-1.0,0.715,0.0261
337,21,-1.0,0.715,0.022
338,56,-35.5,0.714,0.0468
339,17,3.5,0.713,0.0191
340,39,-19.0,0.712,0.0373
341,45,-24.5,0.712,0.032
342,40,-20.0,0.711,0.0313
343,57,-37.0,0.71,0.0425
344,40,-20.0,0.71,0.0337
345,37,-15.5,0.709,0.0353
346,37,-17.0,0.708,0.0381
347,33,-13.0,0.707,0.039
348,51,-28.5,0.707,0.0497
349,46,-25.0,0.706,0.045
350,49,-28.5,0.705,0.0454
351,35,-14.5,0.705,0.0374
352,56,-36.0,0.704,0.0545
353,33,-12.5,0.703,0.0387
354,42,-21.0,0.702,0.0442
355,40,-19.5,0.702,0.042
356,33,-12.5,0.701,0.0373
357,43,-22.5,0.7,0.0422
358,55,-34.0,0.7,0.0507
359,32,-11.5,0.699,0.0331
360,41,-19.5,0.698,0.0452
361,27,-6.5,0.698,0.0263
362,43,-22.0,0.697,0.0408
363,50,-29.5,0.696,0.0409
364,59,-38.5,0.695,0.0522
365,24,-4.0,0.695,0.0272
366,19,1.0,0.694,0.0243
367,38,-17.5,0.693,0.036
368,42,-20.5,0.693,0.0526
369,40,-19.0,0.692,0.0524
370,28,-7.5,0.691,0.0418
371,29,-9.0,0.691,0.0393
372,27,-7.0,0.69,0.0414
373,31,-10.0,0.689,0.0451
374,40,-19.5,0.689,0.0477
375,51,-31.0,0.688,0.0552
376,44,-23.5,0.687,0.0485
377,54,-33.5,0.686,0.0584
378,45,-24.0,0.686,0.0472
379,33,-12.5,0.685,0.0524
380,42,-22.0,0.684,0.0589
381,35,-15.0,0.684,0.05
382,46,-24.5,0.683,0.0501
383,35,-13.5,0.682,0.0378
384,20,1.0,0.682,0.026
385,40,-20.0,0.681,0.0369
386,25,-5.0,0.68,0.0302
387,39,-18.5,0.68,0.0405
388,30,-9.0,0.679,0.0312
389,30,-10.0,0.678,0.0314
390,25,-4.0,0.678,0.0296
391,36,-16.0,0.677,0.0326
392,22,-2.0,0.676,0.0255
393,33,-12.5,0.676,0.0344
394,24,-3.5,0.675,0.0273
395,31,-10.5,0.674,0.0382
396,24,-4.0,0.674,0.0363
397,31,-11.0,0.673,0.0434
398,44,-23.0,0.672,0.0443
399,38,-17.5,0.672,0.0343
400,44,-23.0,0.671,0.0392
401,51,-30.5,0.67,0.0372
402,32,-12.0,0.67,0.026
403,31,-8.5,0.669,0.0297
404,32,-11.0,0.668,0.0277
405,42,-22.0,0.668,0.0355
406,22,-2.0,0.667,0.0255
407,68,-46.5,0.666,0.049
408,40,-19.5,0.666,0.0343
409,26,-5.5,0.665,0.0264
410,44,-23.0,0.664,0.0393
411,33,-11.5,0.664,0.0379
412,38,-17.0,0.663,0.037
413,14,6.0,0.662,0.023
414,48,-27.5,0.662,0.0391
415,38,-18.0,0.661,0.0397
416,19,1.0,0.66,0.0272
417,37,-15.5,0.66,0.0397
418,29,-9.0,0.659,0.0291
419,24,-3.5,0.658,0.0287
420,24,-2.5,0.658,0.029
421,29,-9.0,0.657,0.0342
422,39,-19.0,0.656,0.0409
423,46,-25.0,0.656,0.0457
424,32,-12.0,0.655,0.034
425,32,-12.0,0.654,0.03
426,30,-10.0,0.654,0.0334
427,32,-11.5,0.653,0.032
428,42,-21.0,0.652,0.0396
429,40,-20.0,0.652,0.0392
430,21,-0.5,0.651,0.0253
431,35,-14.5,0.65,0.037
432,19,1.0,0.65,0.0275
433,38,-17.5,0.649,0.0488
434,48,-27.5,0.648,0.0548
435,31,-10.0,0.648,0.0335
436,30,-10.0,0.647,0.0406
437,27,-6.5,0.646,0.0408
438,33,-13.0,0.646,0.0425
439,29,-9.0,0.645,0.0423
440,41,-20.5,0.645,0.039
441,48,-27.0,0.644,0.0447
442,23,-3.0,0.643,0.0217
443,38,-17.5,0.643,0.031
444,34,-14.0,0.642,0.032
445,23,-3.0,0.641,0.0268
446,40,-20.0,0.641,0.039
447,22,-1.5,0.64,0.0256
448,24,-3.5,0.639,0.0236
449,24,-3.5,0.639,0.0268
450,36,-16.0,0.638,0.0349
451,37,-17.0,0.637,0.039
452,35,-15.0,0.637,0.0392
453,29,-8.0,0.636,0.0352
454,27,-7.0,0.636,0.0361
455,25,-5.0,0.635,0.03
456,28,-6.5,0.634,0.0301
457,14,6.0,0.634,0.0241
458,29,-8.0,0.633,0.0291
459,32,-11.5,0.632,0.0345
460,40,-20.0,0.632,0.0409
461,40,-19.0,0.631,0.0435
462,28,-7.0,0.631,0.0336
463,28,-8.0,0.63,0.0357
464,31,-11.0,0.629,0.0362
465,26,-6.0,0.629,0.029
466,49,-28.5,0.628,0.0452
467,39,-18.5,0.627,0.0382
468,39,-18.5,0.627,0.0428
469,39,-19.0,0.626,0.0372
470,14,6.5,0.625,0.0234
471,37,-15.5,0.625,0.0399
472,25,-5.0,0.624,0.0308
473,33,-12.5,0.624,0.0362
474,11,9.0,0.623,0.0228
475,34,-14.0,0.622,0.033
476,31,-11.0,0.622,0.0352
477,34,-13.5,0.621,0.0346
478,31,-10.5,0.62,0.036
479,28,-7.0,0.62,0.0328
480,31,-10.5,0.619,0.0352
481,21,-0.5,0.619,0.0283
482,22,-2.0,0.618,0.0284
483,22,-1.5,0.617,0.0283
484,33,-13.0,0.617,0.0351
485,20,0.5,0.616,0.024
486,30,-10.0,0.616,0.0343
487,29,-7.5,0.615,0.0302
488,29,-9.0,0.614,0.0321
489,28,-8.0,0.614,0.0296
490,26,-5.5,0.613,0.0285
491,21,-0.5,0.612,0.028
492,30,-10.0,0.612,0.0273
493,25,-5.0,0.611,0.0296
494,27,-6.0,0.611,0.0262
495,22,-1.5,0.61,0.0228
496,29,-9.0,0.609,0.031
497,21,-0.5,0.609,0.0251
498,17,3.0,0.608,0.0193
499,22,-1.5,0.608,0.027
500,35,-14.0,0.607,0.0375
501,26,-5.5,0.606,0.0236
502,20,1.0,0.606,0.0251
503,30,-10.0,0.605,0.0373
504,26,-6.0,0.605,0.037
505,25,-4.5,0.604,0.0381
506,28,-8.0,0.603,0.0358
507,30,-9.5,0.603,0.0376
508,35,-14.5,0.602,0.0456
509,19,1.5,0.602,0.0327
510,29,-9.0,0.601,0.0446
511,25,-4.0,0.6,0.0438
512,27,-6.5,0.6,0.0365
513,15,5.5,0.599,0.0298
514,22,-1.5,0.599,0.0361
515,28,-7.5,0.598,0.0425
516,30,-10.0,0.597,0.0278
517,19,1.0,0.597,0.023
518,28,-6.0,0.596,0.026
519,13,7.0,0.596,0.0175
520,25,-5.0,0.595,0.024
521,23,-2.5,0.594,0.0223
522,17,3.0,0.594,0.0182
523,24,-2.0,0.593,0.0294
524,18,2.0,0.593,0.0235
525,16,4.0,0.592,0.0234
526,48,-28.0,0.591,0.0367
527,17,3.0,0.591,0.0202
528,26,-6.0,0.59,0.0266
529,13,7.5,0.59,0.0177
530,27,-6.5,0.589,0.031
531,15,5.0,0.588,0.0286
532,19,1.0,0.588,0.0285
533,26,-5.5,0.587,0.0289
534,14,6.5,0.587,0.0228
535,17,3.0,0.586,0.0238
536,17,3.0,0.586,0.022
537,21,-1.0,0.585,0.027
538,24,-3.5,0.584,0.0321
539,17,3.0,0.584,0.027
540,30,-10.0,0.583,0.0322
541,27,-7.0,0.583,0.0295
542,22,-1.5,0.582,0.0265
543,20,0.5,0.581,0.0282
544,22,-1.5,0.581,0.0261
545,21,-0.5,0.58,0.0313
546,21,0.0,0.58,0.0251
547,28,-7.0,0.579,0.0354
548,22,-2.0,0.579,0.0309
549,14,6.5,0.578,0.0232
550,23,-3.0,0.577,0.0311
551,31,-9.5,0.577,0.0354
552,27,-7.0,0.576,0.0282
553,38,-17.0,0.576,0.0365
554,11,9.0,0.575,0.0222
555,17,3.5,0.574,0.0254
556,18,2.5,0.574,0.027
557,27,-6.5,0.573,0.0312
558,28,-8.0,0.573,0.038
559,28,-7.5,0.572,0.0348
560,27,-6.5,0.572,0.0353
561,27,-7.0,0.571,0.0342
562,17,3.5,0.57,0.0246
563,17,3.5,0.57,0.027
564,27,-7.0,0.569,0.0258
565,27,-7.0,0.569,0.0308
566,29,-9.0,0.568,0.0296
567,25,-4.5,0.568,0.0253
568,18,2.5,0.567,0.0253
569,29,-8.5,0.566,0.0305
570,16,4.5,0.566,0.022
571,22,-2.0,0.565,0.025
572,29,-9.0,0.565,0.0309
573,21,-1.0,0.564,0.0267
574,22,-1.0,0.564,0.0285
575,21,-1.0,0.563,0.0231
576,34,-13.0,0.563,0.0393
577,19,1.0,0.562,0.0259
578,22,-1.5,0.561,0.0275
579,11,9.0,0.561,0.019
580,28,-7.5,0.56,0.0306
581,20,1.0,0.56,0.0284
582,20,0.0,0.559,0.028
583,32,-12.0,0.559,0.0356
584,18,2.5,0.558,0.0225
585,24,-4.0,0.558,0.0282
586,31,-10.0,0.557,0.0347
587,28,-6.5,0.556,0.0402
588,27,-7.0,0.556,0.0414
589,39,-18.5,0.555,0.0529
590,14,6.5,0.555,0.0262
591,23,-3.0,0.554,0.0318
592,23,-3.0,0.554,0.0342
593,21,-0.5,0.553,0.0338
594,18,2.0,0.553,0.0335
595,19,1.0,0.552,0.0367
596,11,10.0,0.551,0.0286
597,22,-2.0,0.551,0.0336
598,26,-6.0,0.55,0.0369
599,35,-14.5,0.55,0.0364
600,23,-2.5,0.549,0.0381
601,13,7.0,0.549,0.0287
602,16,4.5,0.548,0.0292
603,29,-8.0,0.548,0.0315
604,16,4.0,0.547,0.023
605,28,-8.0,0.546,0.0265
606,20,0.0,0.546,0.021
607,17,3.0,0.545,0.0234
608,13,7.0,0.545,0.0183
609,7,13.0,0.544,0.018
610,25,-4.5,0.544,0.0324
611,20,0.0,0.543,0.0269
612,27,-6.5,0.543,0.0335
613,19,1.0,0.542,0.026
614,20,0.0,0.542,0.0269
615,29,-7.5,0.541,0.0329
616,16,4.5,0.54,0.0235
617,23,-3.0,0.54,0.0254
618,23,-3.0,0.539,0.0314
619,25,-5.0,0.539,0.0299
620,25,-5.0,0.538,0.0266
621,17,3.0,0.538,0.017
622,20,0.0,0.537,0.0211
623,22,-2.0,0.537,0.0224
